Reporter,Partner,Trade Value
Australia,"Areas, nes",35854
Australia,Brazil,622
Australia,China,346641
Australia,Denmark,215665
Australia,Fmr Fed. Rep. of Germany,3634
Australia,France,1175617
Australia,Indonesia,73120
Australia,Japan,3059822
Australia,Malaysia,426415
Australia,Netherlands,102728
Australia,New Zealand,2772
Australia,Philippines,3289
Australia,Poland,49311
Australia,Rep. of Korea,669748
Australia,Saudi Arabia,632194
Australia,Singapore,556482
Australia,Spain,217101
Australia,Switzerland,1240
Australia,Thailand,139711
Australia,USA,282464
Australia,United Kingdom,737695
Australia,World,8732125
Finland,"Areas, nes",534
Finland,Belgium-Luxembourg,19798
Finland,Denmark,1582856
Finland,Fmr Dem. Rep. of Germany,2241523
Finland,Fmr Fed. Rep. of Germany,425092
Finland,Fmr USSR,3885987
Finland,France,47932
Finland,Netherlands,14395
Finland,Norway,9873
Finland,Poland,23645
Finland,Sweden,13213
Finland,USA,1097
Finland,United Kingdom,1259870
Finland,World,9525815
Fmr Fed. Rep. of Germany,Austria,607000
Fmr Fed. Rep. of Germany,Belgium-Luxembourg,26472000
Fmr Fed. Rep. of Germany,Bulgaria,76000
Fmr Fed. Rep. of Germany,Canada,42000
Fmr Fed. Rep. of Germany,China,1000
Fmr Fed. Rep. of Germany,Czechoslovakia,4815000
Fmr Fed. Rep. of Germany,Denmark,672000
Fmr Fed. Rep. of Germany,Fmr Yugoslavia,2599000
Fmr Fed. Rep. of Germany,France,36821000
Fmr Fed. Rep. of Germany,Hungary,2999000
Fmr Fed. Rep. of Germany,Israel,1000
Fmr Fed. Rep. of Germany,Italy,124000
Fmr Fed. Rep. of Germany,Japan,73000
Fmr Fed. Rep. of Germany,Netherlands,12293000
Fmr Fed. Rep. of Germany,Norway,10000
Fmr Fed. Rep. of Germany,Poland,7360000
Fmr Fed. Rep. of Germany,Romania,1807000
Fmr Fed. Rep. of Germany,Spain,337000
Fmr Fed. Rep. of Germany,Switzerland,1431000
Fmr Fed. Rep. of Germany,Thailand,1000
Fmr Fed. Rep. of Germany,USA,42000
Fmr Fed. Rep. of Germany,United Kingdom,1248000
Fmr Fed. Rep. of Germany,World,99844000
Fmr Fed. Rep. of Germany,Zimbabwe,13000
Greece,"Areas, nes",126
Greece,Austria,10485
Greece,Belgium-Luxembourg,18123
Greece,Denmark,15877
Greece,Egypt,320766
Greece,Fmr Fed. Rep. of Germany,1906
Greece,Fmr Yugoslavia,180373
Greece,France,154121
Greece,Hungary,10473
Greece,Ireland,5343
Greece,Italy,3688
Greece,Netherlands,184278
Greece,Spain,65250
Greece,USA,60321
Greece,United Kingdom,10352
Greece,World,1041482
Iceland,"Areas, nes",979
Iceland,Belgium-Luxembourg,232745
Iceland,Denmark,26765
Iceland,Fmr Fed. Rep. of Germany,5860
Iceland,France,14310
Iceland,Italy,7960
Iceland,Netherlands,7011
Iceland,United Kingdom,57360
Iceland,World,352990
India,"Areas, nes",130
India,Fmr Dem. Rep. of Germany,16332
India,Japan,15523
India,United Arab Emirates,3143589
India,United Kingdom,113908
India,World,3289482
Japan,China,39465
Japan,Denmark,2161
Japan,Fmr Fed. Rep. of Germany,37304
Japan,France,1554306
Japan,Indonesia,1247915
Japan,Mexico,2013
Japan,Netherlands,1258544
Japan,"Other Asia, nes",76755978
Japan,Pakistan,4807
Japan,Rep. of Korea,91389590
Japan,USA,135482
Japan,United Kingdom,42712
Japan,World,172470277
Portugal,"Areas, nes",859
Portugal,Belgium-Luxembourg,8699
Portugal,Fmr Fed. Rep. of Germany,11503
Portugal,France,63812
Portugal,Italy,960
Portugal,Netherlands,30875
Portugal,Spain,268772
Portugal,United Kingdom,456189
Portugal,World,841669
Rep. of Korea,"Areas, nes",24501
Rep. of Korea,Belgium-Luxembourg,2631
Rep. of Korea,"China, Hong Kong SAR",177139
Rep. of Korea,Fmr Fed. Rep. of Germany,40207
Rep. of Korea,France,1368529
Rep. of Korea,India,1108051
Rep. of Korea,Indonesia,4293529
Rep. of Korea,Japan,408656
Rep. of Korea,Saudi Arabia,1351214
Rep. of Korea,Singapore,5802
Rep. of Korea,Switzerland,10899
Rep. of Korea,USA,89550
Rep. of Korea,United Kingdom,210475
Rep. of Korea,World,9091183
Switzerland,"Areas, nes",642
Switzerland,Austria,48412
Switzerland,Belgium-Luxembourg,289696
Switzerland,Brazil,990
Switzerland,Canada,9441
Switzerland,Czechoslovakia,6826
Switzerland,Denmark,163616
Switzerland,Fmr Dem. Rep. of Germany,674945
Switzerland,Fmr Fed. Rep. of Germany,5385046
Switzerland,France,3213221
Switzerland,Hungary,313347
Switzerland,Italy,9970943
Switzerland,Japan,3311
Switzerland,Netherlands,46534
Switzerland,Spain,43305
Switzerland,Sweden,3634
Switzerland,USA,9010
Switzerland,United Kingdom,5810
Switzerland,World,20188728
Thailand,"Areas, nes",1393
Thailand,France,554459
Thailand,Japan,23080
Thailand,Malaysia,83882
Thailand,Netherlands,58702
Thailand,Singapore,228471
Thailand,USA,14276
Thailand,World,964263
