Reporter,Partner,Trade Value
Albania,Belgium,1405
Albania,Bosnia Herzegovina,31876
Albania,Greece,95
Albania,Montenegro,5744612
Albania,Serbia,21945092
Albania,TFYR of Macedonia,11769212
Albania,World,39492292
Algeria,Benin,19668
Algeria,Brazil,68428
Algeria,Cameroon,24362
Algeria,Chad,28831
Algeria,Congo,39035
Algeria,Denmark,9
Algeria,France,4339
Algeria,Gabon,3916
Algeria,Madagascar,2211
Algeria,Malta,13804
Algeria,Mauritania,10251
Algeria,Mauritius,3950
Algeria,Mozambique,8306
Algeria,Netherlands,38468
Algeria,Trinidad and Tobago,52064
Algeria,World,317642
Argentina,Bolivia (Plurinational State of),433794
Argentina,Brazil,11017
Argentina,Chile,5653500
Argentina,Colombia,3730
Argentina,Costa Rica,8875
Argentina,Ecuador,351613
Argentina,El Salvador,9360
Argentina,Mexico,29240
Argentina,Panama,8919
Argentina,Paraguay,1535826
Argentina,Spain,10991
Argentina,USA,10
Argentina,United Arab Emirates,2038
Argentina,Uruguay,301040
Argentina,Venezuela,4616
Argentina,World,8364568
Armenia,Georgia,231850
Armenia,Italy,1
Armenia,World,231851
Aruba,"Areas, nes",9
Aruba,World,9
Australia,American Samoa,801
Australia,Bunkers,17
Australia,Christmas Isds,1579
Australia,Cocos Isds,5004
Australia,Colombia,4569
Australia,Cook Isds,752
Australia,Côte d'Ivoire,2307
Australia,Fiji,333140
Australia,France,5274
Australia,French Polynesia,3771
Australia,India,30721
Australia,Indonesia,856
Australia,Malaysia,3584
Australia,Mongolia,7278
Australia,Nauru,79530
Australia,New Caledonia,279824
Australia,New Zealand,253070
Australia,"Other Asia, nes",36536
Australia,Papua New Guinea,1303194
Australia,Philippines,1579
Australia,Samoa,17159
Australia,Saudi Arabia,5005
Australia,Seychelles,389
Australia,Singapore,30987
Australia,South Africa,27967
Australia,Thailand,5011
Australia,Timor-Leste,10260
Australia,Turkey,1315
Australia,Tuvalu,2255
Australia,USA,1577
Australia,Vanuatu,29607
Australia,World,2484916
Austria,Albania,2759
Austria,Bahamas,22
Austria,Belarus,192
Austria,Belgium,480
Austria,Bosnia Herzegovina,8886
Austria,Bulgaria,64929
Austria,Cabo Verde,258
Austria,China,208
Austria,Croatia,1089614
Austria,Czechia,2230804
Austria,France,37166
Austria,Germany,8707728
Austria,Ghana,283
Austria,Hungary,6924030
Austria,Israel,48381
Austria,Italy,4734785
Austria,Latvia,3528
Austria,Lithuania,23989
Austria,Luxembourg,1417
Austria,Norway,1049
Austria,Paraguay,53
Austria,Poland,8176
